X,Y,id,osm_id,z_order,amenity,name,name:en,building,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,website,contact:website,phone,contact:phone,opening_hours,cuisine,religion,denomination,access,wheelchair,ele,brand,tower:type
,,3122633,359423449,0,parking,ADA PARKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830435,431979458,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,797103,115935885,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,2266365,264632644,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1264440,168647686,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684624,209852012,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684678,209856661,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1726084,216535336,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1520981,194217265,0,parking,,,roof,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1651423,206436693,0,garage,Alumni Center Garage Annex,,garage,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,private,,,,
,,1673672,208621328,0,parking,380,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673674,208621336,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673699,208622351,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673712,208622371,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673741,208623677,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684451,209822921,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684452,209822923,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684489,209826773,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684680,209856665,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,5338779,571147054,0,fountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2602139,303545093,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2602140,303545094,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830441,431980090,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154511,28775766,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155214,28828206,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,313670,46146360,0,theatre,Macky Auditorium,,university,1595,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,,1646,,
,,314020,46187185,0,social_centre,Koenig Alumni Center,,yes,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,,1652,,
,,314849,46371932,0,doctors,Wardenburg Health Center,,yes,1900,,Wardenburg Drive,Boulder,,,,,,,,,,,,,,,,,,,,1650,,
,,314850,46371942,0,social_centre,University Club,,yes,972,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,,,,
,,315339,46493394,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,315340,46493408,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,315341,46493409,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,315342,46493403,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,319239,46938876,0,parking,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1661931,207507177,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,wheelchair,,,,
,,1673558,208617249,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1673561,208617251,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1673681,208621340,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673701,208622363,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673706,208622362,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1673707,208622373,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673713,208622361,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673735,208623670,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1673743,208623673,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1683420,209688344,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1684453,209822922,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684455,209822925,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684623,209852010,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684626,209852014,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684632,209852021,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684636,209852023,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684640,209852025,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684683,209856672,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684830,209875829,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1687368,210227860,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1694519,211011305,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1694521,211011308,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,disabled,,,,
,,1721450,215667610,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1725571,216488703,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1725572,216488704,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1726083,216535337,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1727938,216703158,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727939,216703162,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727942,216703160,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727950,216703174,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727953,216703176,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727954,216703167,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727955,216703175,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727957,216703179,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1727958,216703180,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1727960,216703172,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1759861,219616740,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2023525,241345813,0,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,154510,28775761,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,154513,28775887,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,314078,46197735,0,theatre,University Theatre,,university,1515,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,,1654,,
,,314136,46217915,0,community_centre,University Memorial Center,,yes,1669,,Euclid Avenue,Boulder,,,,,,,,,,,,,,,,,,,yes,1651,,
,,315344,46493399,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,319236,46938871,0,parking,Regent Drive AutoPark 436/491 top level,,garage,1050,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,,,,
,,319241,46938892,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,797104,115935886,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,797931,116030891,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,797932,116030901,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,829913,119941657,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,829914,119941656,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1661932,207507180,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673676,208621339,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673700,208622352,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1673742,208623678,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673767,208625979,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1682821,209613551,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1684456,209822927,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684631,209852022,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1687371,210227857,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1727937,216703155,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727940,216703157,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727959,216703182,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,
,,1640759,205416249,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673531,208613382,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,permissive,,,,
,,1673559,208617247,0,car_sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673563,208617252,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673677,208621343,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673678,208621333,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673684,208621330,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673703,208622364,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673704,208622368,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673705,208622369,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673708,208622365,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673710,208622366,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,1673738,208623675,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,
,,1673739,208623676,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1682823,209613549,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1684454,209822924,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684458,209822929,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684460,209822928,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684488,209826772,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684628,209852016,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684633,209852017,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684635,209852019,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684639,209852015,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684642,209852028,0,parking,Lot #445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684681,209856667,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684829,209875828,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1687369,210227861,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1687370,210227864,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1687372,210227866,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1694518,211011298,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1694520,211011302,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1721449,215667594,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1725570,216488702,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727941,216703164,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727944,216703165,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727946,216703169,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727947,216703168,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727948,216703171,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727961,216703181,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,2267068,264695712,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,permissive,,,,
,,3830396,431976556,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,319237,46938872,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,319240,46938883,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,
,,696217,103498253,0,police,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673560,208617250,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684459,209822930,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1250248,167319411,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1617872,203657392,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1673564,208617248,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673670,208621332,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673671,208621334,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673673,208621337,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,service,,,,
,,1673682,208621338,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673697,208622350,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673711,208622367,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673870,208635957,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1675049,208751663,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1682457,209564792,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1683418,209687767,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684457,209822926,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684622,209852009,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684625,209852013,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684638,209852024,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684682,209856670,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1687586,210256190,0,social_centre,Sigma Phi Epsilon,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1726085,216535334,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1726086,216535338,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1726087,216535339,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,students,,,,
,,1727935,216703154,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727936,216703156,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727945,216703159,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727949,216703173,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727956,216703177,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2266841,264683965,0,shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2266842,264683976,0,shelter,Bicycle Parking Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2266843,264683980,0,fountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830422,431979100,0,parking,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4556715,513972832,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23182,-2728647,0,university,University of Colorado Boulder,,,,,,,,,,,,,,,,http://www.colorado.edu,,,,,,,,,,,,
,,59313,-6495973,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,314085,46200737,0,theatre,Mary Rippon Outdoor Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,319238,46938870,0,police,Police and Parking Services Center,,yes,1050,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,,1635,,
,,319242,46938901,0,planetarium,Fiske Planetarium,,university,2414,,Regent Drive,Boulder,,,,,,,,,,http://www.colorado.edu/fiske/,,,,,,,,,,1647,,
,,526785,81175983,0,community_centre,Center for Community,,yes,2249,,Willard Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,yes,,,
,,1673557,208617246,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,wheelchair,,,,
,,1673562,208617253,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673669,208621331,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673675,208621335,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1673679,208621344,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673709,208622372,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1673740,208623671,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1682670,209588249,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,delivery,,,,
,,1682822,209613552,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684491,209826774,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684627,209852011,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684629,209852018,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684630,209852020,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1684634,209852026,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,employee,,,,
,,1684637,209852027,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684641,209852029,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1684679,209856663,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1686763,210147267,0,social_centre,Chi Omega,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1726081,216535333,0,motorcycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1726082,216535332,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
,,1727943,216703163,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727951,216703166,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727952,216703170,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1727962,216703178,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3122635,359423532,0,parking,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830405,431977755,0,parking,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830408,431977920,0,parking,Handicapped Parking 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3830436,431979459,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1673871,208635958,0,parking,,,,,,,,,,,,,,,,,,,,,,,,,public,,,,
