id,osm_id,z_order,building,building:levels,height,name,name:en,craft,office,leisure,shop,addr:housenumber,addr:housename,addr:street,addr:city,addr:state,addr:postcode,addr:place,addr:country,addr:hamlet,addr:suburb,addr:subdistrict,addr:district,addr:province,addr:interpolation,website,contact:website,phone,contact:phone,opening_hours,brand,construction,tower:type,disused
70101201,206751727,0,shed,,,Varsity Lake Pump Station,,,,,,1500,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
75032609,215705010,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032610,215705011,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279152551,46371901,0,university,12,,Duane Physics and Astrophysics,,,,,,2000,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
70390676,207507186,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390678,207507189,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74941138,215499738,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000750,215665686,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000758,215665694,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000759,215665695,0,church,1,,St Aidan's Episcopal Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000760,215665691,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001327,215667599,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001328,215667600,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001333,215667605,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001335,215667608,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211029044,466530281,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211029073,466530279,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277124778,542955658,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277124997,205305292,0,university,,,Cristol Chemistry and Biochemistry,,,,,,1606,,Central Campus Mall,Boulder,CO,80309,,,,,,,,,,,,,,,,,
39652734,136249436,0,yes,4,,Koelbel Building/Leeds School of Business,,,,,,995,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
69625015,205668778,0,university,2,,Mechanical Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70075311,206682697,0,house,,,Lesser House,,,,,,2501,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
70075312,206682698,0,shed,,,"Speech, Language, and Hearing Sciences Shed",,,,,,,,,,,,,,,,,,,,,,,,,,,,
74941134,215499735,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74941137,215499737,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000754,215665689,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000756,215665692,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000757,215665693,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001312,215667583,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001313,215667584,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001315,215667587,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001317,215667588,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001323,215667595,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001324,215667596,0,yes,,,Hillel,,,,,,2795,,Colorado Avenue,Boulder,,80302,,,,,,,,,http://www.hillelcolorado.org/our-campuses/university-of-colorado/,,,,,,,,
75001325,215667597,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001331,215667603,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266551995,205668775,0,university,1,,Computer Science Department Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26359802,103498257,0,yes,,,Alpha Delta Chi,,,,,,1058,,13th Street,,,,,,,,,,,,,,,,,,,,
64473817,194217265,0,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69984737,206453460,0,yes,,,Stadium Ticket Building,,,,,,2095,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
74886338,215333052,0,yes,2,,,,,,,,1059,,14th Street,,,,,,,,,,,,,,,,,,,,
74886339,215333053,0,yes,,,ΣΑΕ,,,,,,1045,,14th Street,,,,,,,,,,,,,,,,,,,,
74886340,215333054,0,yes,2,,,,,,,,1033,,14th Street,,,,,,,,,,,,,,,,,,,,
74886344,215333059,0,yes,2,,ΑΣΦ,Alpha Sigma Phi,,,,,1019,,14th Street,Boulder,,,,,,,,,,,,,,,,,,,
74886782,215335318,0,yes,,,,,,,,,1060,,14th Street,,,,,,,,,,,,,,,,,,,,
75033366,215705865,0,yes,,,,,,,,,1016,,14th Street,,,,,,,,,,,,,,,,,,,,
75033369,215705868,0,yes,2,,Cedar House,,,,,,1004,,14th Street,,,,,,,,,,,,,,,,,,,,
99710445,264683964,0,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118588607,293930527,0,university,4,,CU Art Museum,,,,,,1085,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
277124779,206453459,0,yes,,,,,,,,,2150,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
277125158,46195525,0,university,3,,Department of Economics,,,,,,1445,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
277370388,377378269,0,commercial,,,Champions Center,,,,,,2150,,Stadium Drive,,,,,,,,,,,,,,,,,,,,
204307517,454756536,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204307602,454756618,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277369982,103498256,0,yes,,,,,,,,,1080,,13th Street,,,,,,,,,,,,,,,,,,,,
277552124,215705004,0,apartments,3.5,,University Court Condominiums,,,,,,1085,,Broadway,Boulder,CO,80302,,,,,,,,,,,,,,,,,
26359799,103498253,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26359804,103498258,0,yes,,,,,,,,,1044,,13th Street,,,,,,,,,,,,,,,,,,,,
53322945,167319414,0,office,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161815006,377378436,0,commercial,,,Indoor Practice Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70075313,206682699,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886785,215335322,0,yes,,,,,,,,,1040,,14th Street,,,,,,,,,,,,,,,,,,,,
123060439,301963744,0,construction,,,East District Energy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152504799,359421635,0,yes,,,grounds and recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16708928,81175983,0,yes,5,,Center for Community,,,educational_institution,,,2249,,Willard Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
45590888,149825386,0,yes,,,The Learning Center,,,educational_institution,,,1045,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
53322948,167319412,0,retail,2,,Walgreens,,,,,,1111,,Broadway,Boulder,CO,80302,,,,,,,,,,,,,,,,,
69460371,205305291,0,university,,,Cooperative Institute for Research in Environmental Sciences Building,,,,,,1665,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
69625018,205668781,0,university,,,South Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69625019,205668780,0,office,8,,Office Tower,,,educational_institution,,,,,,,,,,,,,,,,,,,,,,,,,
69625023,205668776,0,university,,,Electrical Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69625034,205668773,0,university,,,Civil & Environmental Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69625036,205668783,0,university,,,Stores & Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70075322,206682695,0,shed,,,Baker Hall Ancillary Building,,,,,,2005,,Baker Drive,Boulder,,,,,,,,,,,,,,,,,,,
70390673,207507183,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390674,207507184,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390675,207507185,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71780651,210256190,0,yes,3,,Sigma Phi Epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886341,215333056,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886342,215333057,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886343,215333058,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74941136,215499736,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000753,215665688,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000761,215665697,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000762,215665696,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001310,215667581,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001311,215667582,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001314,215667585,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001316,215667586,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001318,215667589,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001320,215667590,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001321,215667592,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032604,215705006,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032606,215705008,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032612,215705013,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032615,215705015,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75033365,215705863,0,yes,,,,,,,,,1036,,14th Street,,,,,,,,,,,,,,,,,,,,
75033368,215705867,0,yes,,,International English Center,,,,,,1004,,14th Street,,,,,,,,,,,,,,,,,,,,
69625016,205668779,0,university,,,North Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000755,215665690,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001334,215667607,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317843,28775448,0,dormitory,2,,Reed Hall,,,,,,1001,,Cockerell Drive,Boulder,,,,,,,,,,,,,,,,,,,
317844,28775431,0,dormitory,4 floors,,Farrand Hall,,,,,,2200,,Baker Drive,Boulder,,,,,,,,,,,,,,,,,,,
317846,28775533,0,dormitory,2,,Crosman Hall,,,,,,1015,,Cockerell Drive,Boulder,,,,,,,,,,,,,,,,,,,
317848,28775536,0,dormitory,2,,Cockerell Hall,,,,,,2370,,Libby Drive,Boulder,,,,,,,,,,,,,,,,,,,
317849,28775541,0,dormitory,,,Brackett Hall,,,,,,2350,,Libby Drive,Boulder,,,,,,,,,,,,,,,,,,,
317850,28775547,0,dormitory,,,Aden Hall,,,,,,2320,,Libby Drive,Boulder,,,,,,,,,,,,,,,,,,,
317939,28775916,0,dormitory,3,,Baker Hall,,,,,,2005,,Baker Drive,Boulder,,,,,,,,,,,,,,,,,,,
317942,28775935,0,dormitory,4,,Willard Hall,,,,,,2200,,Willard Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
322230,28826998,0,dormitory,,,Libby Hall,,,,,,2115,,Baker Drive,Boulder,,,,,,,,,,,,,,,,,,,
322233,28827063,0,dormitory,4,,Hallet Hall,,,,,,2250,,Willard Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
322236,28827210,0,dormitory,4,,Cheyenne Arapaho Hall,,,,,,960,,Green Mountain Street,Boulder,,,,,,,,,,,,,,,,,,,
322237,28827229,0,office,3,,Regent Administrative Building,,,educational_institution,,,2055,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
322252,28828203,0,university,4,,Porter Biosciences,,,,,,1925,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
322253,28828204,0,university,,,Joint Institute for Lab Astrophysics,,,,,,1900,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
322254,28828202,0,yes,,,Carlson Gymnasium,,,,sports_centre,,1900,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
322275,28828232,0,university,5,,Norlin Library,,,,,,1157,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
2807096,46146360,0,university,,,Macky Auditorium,,,,,,1595,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2812665,46187185,0,yes,,,Koenig Alumni Center,,,,,,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
2812668,46187194,0,university,,,Hale Science,,,,,,1350,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2813437,46194266,0,university,2,,McKenna Languages,,,,,,1505,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2813577,46194626,0,university,3.5,,Old Main,,,,,,1600,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2813579,46194627,0,university,,,Woodbury Arts and Sciences,,,,,,1600,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2813657,46195447,0,university,2,,Gates Woodruff Womens Studies Cottage,,,,,,1160,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
2813920,46197734,0,university,3,,Guggenheim Geography,,,,,,1475,,Central Campus Mall,Boulder,CO,80302,,,,,,,,,,,,,,,,,
2813922,46197735,0,university,3,,University Theatre,,,,,,1515,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
2813932,46198370,0,university,3,,Museum Collections - Bruce Curtis Building,,,,,,1440,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
2813940,46198371,0,university,3,,Education,,,,,,1500,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
2813971,46200736,0,university,3,,Hellems Arts and Sciences,,,,,,1550,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
2814176,46202565,0,university,,,Denison Arts and Sciences,,,,,,1080,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
2814177,46202571,0,university,,,Museum of Natural History - Henderson Building,,,,,,1030,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
2814704,46217914,0,university,,,Ekeley Sciences Building,,,,,,1601,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
2814705,46217915,0,yes,5,,University Memorial Center,,,,,,1669,,Euclid Avenue,Boulder,,,,,,,,,,,,,,,,,,,
2814769,46223800,0,university,,,Ketchum Arts and Sciences Building,,,,,,1775,,Central Campus Mall,Boulder,,,,,,,,,,,,,,,,,,,
2820313,46275955,0,university,,,Claire Small Arts and Sciences,,,,,,1725,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2820314,46275944,0,university,,,Ramaley Biology,,,,,,1800,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
2820315,46275953,0,university,,,Temporary Building 1,,,,,,1715,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2820316,46275951,0,yes,,,Student Recreation Center,,,,sports_centre,,1855,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
2825324,46371891,0,university,,,Laboratory for Atmospheric and Space Physics,,,,,,1950,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
2825328,46371932,0,yes,,,Wardenburg Health Center,,,,,,1900,,Wardenburg Drive,Boulder,,,,,,,,,,,,,,,,,,,
2825329,46371942,0,yes,,,University Club,,,,,,972,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
2825330,46371926,0,office,3,,University Admin Center,,,educational_institution,,,924,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
2825332,46371965,0,yes,,,Power House,,,,,,1100,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
2825333,46371936,0,university,,,Imig Music,,,,,,1020,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
2825334,46371963,0,yes,,,Dal Ward Athletic Center,,,,sports_centre,,2100,,Stadium Drive,Boulder,,,,,,,,,,,,,,,,,,,
2825335,46371958,0,university,3,,Environmental Design,,,,,,1060,,18th Street,Boulder,CO,,,,,,,,,,,,,,,,,,
2831260,46493395,0,university,3,,Mathematics,,,,,,2300,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
2831261,46493421,0,university,,,Benson Earth Sciences,,,,,,2200,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
2911552,46938868,0,university,,,Integrated Teaching and Learning Laboratory,,,,,,1045,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911554,46938869,0,university,4,,Gallogly Discovery Learning Center,,,,,,1095,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911557,46938871,0,garage,5,,Regent Drive AutoPark 436/491 top level,,,,,,1050,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911558,46938870,0,yes,3,,Police and Parking Services Center,,,,,,1050,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911559,46938873,0,yes,2,,Environmental Health and Safety Center,,,,,,1000,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911560,46938881,0,dormitory,3,,Arnett Hall,,,,,,2590,,Kittredge Loop Drive,Boulder,CO,80310,,,,,,,,,,,,,,,,,
2911562,46938886,0,stadium,,,Coors Events/Conference Center,,,,sports_centre,,950,,Regent Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911563,46938896,0,dormitory,,,Andrews Hall,,,,,,2510,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911564,46938897,0,dormitory,,,Buckingham Hall,,,,,,2605,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911565,46938894,0,university,3,,"Speech, Language, and Hearing Sciences Building",,,,,,2501,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911566,46938901,0,university,,,Fiske Planetarium,,,,,,2414,,Regent Drive,Boulder,,,,,,,,,,,http://www.colorado.edu/fiske/,,,,,,,,
2911567,46938893,0,university,,,Sommers-Bausch Observatory,,,,,,2475,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911568,46938900,0,dormitory,,,Kittredge Central,,,,,,2480,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,residential,,
2911569,46938905,0,university,,,Fleming Law,,,,,,2445,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
2911570,46938908,0,dormitory,4,,Kittredge West Hall,,,,,,2400,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
26359800,103498254,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26359801,103498255,0,yes,,,International English Center and Division of Continuing Education,,,,,,1030,,13th Street,,,,,,,,,,,,,,,,,,,,
26359805,103498259,0,yes,,,,,,,,,1305,,13th Street,,,,,,,,,,,,,,,,,,,,
53906249,168647687,0,university,,,Wolf Law,,,,,,2450,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
68682346,203657375,0,university,,,Eaton Humanities,,,,,,1610,,Pleasant Street,Boulder,,,,,,,,,,,,,,,,,,,
69625014,205668772,0,university,,,Chemical Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69625033,205668771,0,university,3,,Aerospace Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69978287,206436693,0,garage,,,Alumni Center Garage Annex,,,,,,1202,,University Avenue,Boulder,,,,,,,,,,,,,,,,,,,
70075315,206682696,0,university,,,Basketball & Volleyball Practice Facility,,,,sports_centre,,,,,Boulder,,,,,,,,,,,,,,,,,,,
70278157,207202686,0,office,2,,University Admin Center Annex,,,educational_institution,,,924,,Broadway,Boulder,,,,,,,,,,,,,,,,,,,
70302286,207277409,0,church,,,University Lutheran Chapel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390679,207507187,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390680,207507190,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390681,207507191,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390682,207507192,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71721315,210147267,0,yes,,,Chi Omega,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886345,215333060,0,apartments,3,,The Block,,,,,,1005,,14th Street,,,,,,,,,,,,,,,,,,,,
74886780,215335316,0,yes,,,The Ritz,,,,,,1020,,13th Street,,,,,,,,,,,,,,,,,,,,
74886783,215335319,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74886784,215335321,0,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001309,215667580,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001319,215667591,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001322,215667593,0,house,,,,,,,,,2695,,Colorado Avenue,Boulder,,80302,,,,,,,,,,,,,,,,,
75001329,215667601,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001330,215667602,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001332,215667604,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032605,215705007,0,yes,,,Alpha Phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75032613,215705014,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75618462,216535335,0,dormitory,,,Smith Hall,,,,,,2525,,Kittredge Loop Drive,Boulder,,,,,,,,,,,,,,,,,,,
266551986,205668774,0,university,2,,Classroom Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211029043,466530280,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69983870,206450882,0,university,5,,Gold Biosciences Building,,,,,,1945,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
74886781,215335317,0,yes,,,Chi Psi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75033363,215705864,0,yes,2,,,,,,,,1020,,14th Street,,,,,,,,,,,,,,,,,,,,
99710806,264685453,0,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251721117,531560860,0,yes,,,Byron R. White Touchdown Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905589,533314913,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905602,533314908,0,roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68682347,203657374,0,yes,8,20,Balch Fieldhouse,,,,,,1995,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
69983865,206450883,0,university,5,,Muenzinger Psychology,,,,,,1905,,Colorado Avenue,Boulder,,,,,,,,,,,,,,,,,,,
70075314,206682700,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70390677,207507188,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74941135,215499734,0,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45590850,149825017,0,university,,,ATLAS Center,,,,,,1125,,18th Street,Boulder,,,,,,,,,,,,,,,,,,,
68682345,203657393,0,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000751,215665687,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75001326,215667598,0,house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75686258,216703114,0,yes,1,,Folsom Bike Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,
